127.0.0.1 - - [12/Apr/2016:20:23:19 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:23:20 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:23:35 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:23:35 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:28:07 +0300] "GET /HelloWeb/Home HTTP/1.1" 500 1805
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:28:11 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:28:18 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:28:19 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:28:20 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:28:20 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:29:10 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:29:13 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:29:18 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:29:23 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:29:28 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:29:33 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:29:35 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:29:40 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:29:41 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:29:42 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [12/Apr/2016:20:29:43 +0300] "GET /HelloWeb/Home HTTP/1.1" 200 30
